title,author,bookInfo,authorInfo
Savage Road,Christine Feehan,Reenter the world of the Torpedo Ink Motorcycle Club at full throttle in this new novel by #1 New York Times bestselling author Christine Feehan.,"Christine Feehan is the #1 New York Times bestselling author of the Carpathian series, the GhostWalker series, the Leopard series, the Shadow Riders series, and the Sea Haven novels, including the Drake Sisters series and the Sisters of the Heart… More about Christine Feehan"
What Might Have Been,Holly Miller,"The Two Lives of Lydia Bird meets This Time Next Year in a sliding-doors style romance and coming-to-self story about fate, chance, and the choices we make.What if “meant to be” happened twice?Lucy is at a crossroads. The same night she quits her thankless job she meets Caleb, a local photographer in her seaside town, and has a run-in with Max—the once love of her life. As Lucy decides the right path forward—finally pursue her dream of becoming a writer, or move to London and revive her career—her choice will change her life in unimaginable ways. Stay. After a decade of trying to run from her dream, Lucy is finally facing her fears and putting pen to page. With her budding romance with handsome, artistic Caleb, she has more inspiration now than ever. But can Lucy and Caleb open themselves up after their past heartbreaks? And will their different paths take them to the same place? Go. Lucy can’t believe her luck when a room in her best friend’s London house share opens up and she lands a job at the prestigious Supernova. It gives her the courage to face Max, who’s serendipitous encounter still has her reeling, and ask what really happened almost a decade ago? But does she really want to know, when being together feels like fate? In concurrent storylines that track what would have happened if Lucy chose to Stay or Go, What Might Have Been is a sweeping story that poses the questions: is it destiny or chance that decides who we are meant to be, and who we are meant to love? And is there such a thing as a soul mate?","Holly Miller works as a copywriter and lives in Norfolk, England. The Sight of You is her American debut."
The Runaway Duchess,Joanna Lowell,"A runaway bride dumps a duke and rewrites her own love story in this enchanting Victorian historical romance from the author of The Duke Undone.   Pretty and pampered, Lavinia Yardley always dreamed of becoming a duchess. But family disgrace forces her into marriage with the most vile duke in England, and she finds herself desperate for a way out. When a rustic stranger mistakes her for globe-trotting botanist Muriel Pendrake at a train station, Lavinia has a split second to decide whether to submit to her fate or steal someone else’s. Neal Traymayne spent his youth traveling the world as Varnham Nursery’s most daring plant hunter. Now he runs the nursery and is ready to settle down with a like-minded wife who’ll fit right in with his large, happy, down-to-earth family. His correspondence with Muriel Pendrake proved they’re the perfect match. Odd that the woman in the flesh seems more like a society belle than a scientist.As they tramp the Cornish moors together, Lavinia and Neal discover a wild and rare desire. But this blossoming love is rooted in lies, and when the real Muriel Pendrake shows up, they can’t hide from who they are. The truth may wither their hopes of happiness, or it may bloom into the sweetest love of all.","Joanna Lowell lives among the fig trees in North Carolina, where she teaches in the English department at Wake Forest University. When she’s not writing historical romance, she writes collections and novels as Joanna Ruocco. Those books include Dan, Another Governess /… More about Joanna Lowell"
Lightning in a Mirror,Jayne Ann Krentz,"The final installment in the chilling Fogg Lake trilogy by New York Times bestselling author Jayne Ann Krentz.   Olivia LeClair’s experiment with speed dating is not going well. First there was the nasty encounter with the date from hell who tried to murder her and now the mysterious Harlan Rancourt—long believed dead—sits down at her table and tells her she’s the only one who can help him locate the legendary Vortex lab.   This is not what Olivia had in mind when she signed up for the Four Event Success Guaranteed package offered by the dating agency.  She doesn’t have much choice, though, because her psychic investigation firm works for the mysterious Foundation and Victor Arganbright, the director, is adamant that she assist Harlan. There’s just one problem—no one knows Harlan’s real agenda. His father once ran the Foundation like a mob organization, and Harlan was destined to be his heir.  There’s a real possibility Harlan has returned to claim his inheritance.    For now, however, it’s a case of the enemy of my enemy is my friend because others are after the secrets of the long-lost lab. Unfortunately for Olivia, the one thing friend and foe have in common is that everyone is convinced she is the key. Her unique psychic talent is required to defuse the ticking time bomb that is Vortex.   Neither trusts the other but Olivia and Harlan soon realize they must work together to survive and unlock the Bluestone Project’s most dangerous secrets before more innocent people die.","Jayne Ann Krentz is the author of fifty New York Times bestsellers. She has written contemporary romantic suspense novels under that name, as well as futuristic and historical romance novels under the pseudonyms Jayne Castle and Amanda Quick, respectively. She… More about Jayne Ann Krentz"
The Stars Are Not Yet Bells,Hannah Lillith Assadi,"A story of secrets, loss, and the betrayals of memory: a lyrical novel of an aging woman confronting her romantic past under the mysterious skies of her island homeOff the coast of Georgia, near Savannah, generations have been tempted by strange blue lights in the sky near an island called Lyra. At the height of World War II, impressionable young Elle Ranier comes to the island when her new husband, Simon, is dispatched by his industrialist father to find the source of the mysterious lights. There they will live for decades, raising a family while employing much of the island’s population in a quixotic campaign to find and exploit the elusive minerals rumored to lurk offshore. Fifty years later, as Simon’s business is shuttered in disarray, Elle looks back at her life on the mysterious island—and at a secret she herself has guarded for decades. As her memory recedes, her life seems a tangle of questions: How did the business survive so long without ever finding the legendary Lyra stones? How did her own life crumble under treatment for depression? And what became of the other man they brought to the island—handsome, raffish Gabriel, who risked everything to follow the light to its source?With echoes of We Are Not Ourselves and even Jean Rhys’s Wide Sargasso Sea, The Stars Are Not Yet Bells is a darkly romantic story of the tantalizing, faithless relationship between ourselves and the lives and souls we leave behind.","Hannah Lillith Assadi teaches fiction at the Columbia University School of the Arts. Her first novel, Sonora, received the Rosenthal Family Foundation Award in Literature from the American Academy of Arts and Letters and was a finalist for the PEN/… More about Hannah Lillith Assadi"
The Siren of Sussex,Mimi Matthews,"Victorian high society’s most daring equestrienne finds love and an unexpected ally in her fight for independence in the strong arms of London’s most sought after and devastatingly handsome half-Indian tailor. Evelyn Maltravers understands exactly how little she’s worth on the marriage mart. As an incurable bluestocking from a family tumbling swiftly toward ruin, she knows she’ll never make a match in a ballroom. Her only hope is to distinguish herself by making the biggest splash in the one sphere she excels: on horseback. In haute couture. But to truly capture London’s attention she’ll need a habit-maker who’s not afraid to take risks with his designs—and with his heart. Half-Indian tailor Ahmad Malik has always had a talent for making women beautiful, inching his way toward recognition by designing riding habits for Rotten Row’s infamous Pretty Horsebreakers—but no one compares to Evelyn. Her unbridled spirit enchants him, awakening a depth of feeling he never thought possible. But pushing boundaries comes at a cost and not everyone is pleased to welcome Evelyn and Ahmad into fashionable society. With obstacles spanning between them, the indomitable pair must decide which hurdles they can jump and what matters most: making their mark or following their hearts?","USA Today bestselling author Mimi Matthews writes both historical nonfiction and award-winning proper Victorian romances. Her novels have received starred reviews in Library Journal, Publishers Weekly, and Kirkus, and her articles have been featured on the Victorian Web, the Journal… More about Mimi Matthews"
Annihilation Road,Christine Feehan,"A brand-new novel in the exhilarating Torpedo Ink series by #1 New York Times bestselling author Christine Feehan.The Torpedo Ink riders of Sea Haven have a lot more coming for them than they anticipated in this new novel, full of heat, danger, and thrill rides.","Christine Feehan is the #1 New York Times bestselling author of the Carpathian series, the GhostWalker series, the Leopard series, the Shadow Riders series, and the Sea Haven novels, including the Drake Sisters series and the Sisters of the Heart… More about Christine Feehan"
Brazen,Jaci Burton,"A country girl embarks on a brazen pursuit of love in this bold romance from New York Times bestselling author Jaci Burton. Ranch owner Jolene Mcmasters has always worked hard–and played hard. She’s used to going after what she wants until she gets it. And what she wants is ranch foreman Walker Morgan. The only problem is Walker can’t afford to lose his job by getting too familiar with his boss. And getting intimate with Jolene is the last thing on his mind–or maybe it’s all that’s been on his mind lately, which could be a career ender for him. But Jolene wears Walker down and soon the two of them are having hot interludes on the ranch and are together all the time–but only in private. Jolene wants more–she wants Walker to be by her side in all ways. But Walker holds a secret that could end his relationship with Jolene for good. Can Jolene trust in her love for Walker, or will this secret break her heart?","Jaci Burton is a New York Times and USA Today bestselling romance novelist. In addition to writing the Play-by-Play, Hope, and Wild Riders series, she has also coauthored a number of anthologies with fellow romance writer Lora Leigh. Burton lives in Oklahoma with her husband… More about Jaci Burton"
An Accidental Odyssey,kc dyer,"When an unexpected phone call derails a young woman’s wedding plans, it sparks an epic adventure around the modern-day Mediterranean. Gianna Kostas is on the cusp of a fairy-tale life. Sure, she’s just lost her job, but she’s about to marry one of New York’s most eligible bachelors. On her way to taste wedding cakes, though, things go sideways. Shocking news sends Gia off on a wild journey halfway around the world in pursuit of her ailing—and nearly estranged—father. In Athens, she learns Dr. Kostas, a classics professor, is determined to retrace Odysseus’s famous voyage. This is a journey her father is in no condition to take alone, so Gia faces a tough decision. When an unexpected job offer helps seal the deal and quash the guilt Gia feels from her disapproving groom-to-be, the journey is on. But as Gia adventures—and eats—her way around the Mediterranean, she discovers that confronting epic storms and ripped surfer dudes might be the easy part. Along the way, as she uncovers family secrets, finds heartbreak, and learns more about a certain archaeologist with a mysterious past of his own, Gia discovers that fairy-tale endings might be messy and complicated, but they can happen anywhere.","kc dyer resides in the wilds of British Columbia where she likes to walk in the woods and write books for teens and adults. Before Eighty Days to Elsewhere, her most recent novel for adults is Finding Fraser, a romantic comedy published by… More about kc dyer"
The Love Con,Seressia Glass,"He’s cosplaying as her boyfriend but their feelings for each other are real in this romantic comedy from Seressia Glass. Sometimes Kenya Davenport believes she was switched at the hospital—how else could a lover of anime, gaming, and cosplay come from STEM parents? Still, Kenya dreams of being able to turn her creative hobby into a career. She finally has a chance to make it big when she joins the reality show competition Cosplay or No Way. There’s just one catch: the challenge for the final round is all about iconic pairs, and the judges want the contestants’ significant others to participate. Unfortunately, Kenya is as single as can be at the moment. Luckily her best friend, Cameron Lassiter, agrees to be her fake boyfriend for the show. Roleplaying a couple in love will force them to explore what they’re hiding under the mask of friendship. Can Kenya and Cam fake it until she makes it, or will she be real about her feelings, knowing it could cost her the best friend she’s ever had?","Seressia Glass is an award-winning author in contemporary, historical and paranormal romance as well as urban fantasy."
The Age of Innocence,Edith Wharton,"Edith Wharton’s acclaimed novel of love, duty, and half-known truths in Gilded Age New York society, with a foreword by bestselling author Elif BatumanDutiful Newland Archer, an eligible young man from New York high society, is about to announce his engagement to May Welland, a suitable match from a good family, when May’s cousin, the beautiful and exotic Countess Ellen Olenska, is introduced into their circle. The Countess brings with her an aura of European sophistication and a hint of perceived scandal, having left her husband and claimed her independence. Her worldliness, disregard for society’s rules, and air of unapproachability attract the sensitive Newland, despite his enthusiasm about a marriage to May and the societal advantages it would bring. Almost against their will, Newland and Ellen develop a passionate bond, and a classic love triangle takes shape as the three young people find themselves drawn into a poignant and bitter conflict between love and duty. Written in 1920, Edith Wharton’s Pulitzer Prize-winning novel about a time and place long gone by—1870s New York City—beautifully captures the complexities of passion, independence, and fulfillment, and how painfully hard it can be for individuals to truly see one another and their place in the world.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","The upper stratum of New York society into which Edith Wharton was born in 1862 provided her with an abundance of material as a novelist but did not encourage her growth as an artist. Educated by tutors and governesses, she… More about Edith Wharton"
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"WINNER OF THE NOBEL PRIZE IN LITERATURE  “A brilliant literary murder mystery.” —Chicago Tribune “Extraordinary. Tokarczuk’s novel is funny, vivid, dangerous, and disturbing, and it raises some fierce questions about human behavior. My sincere admiration for her brilliant work.” —Annie ProulxIn a remote Polish village, Janina devotes the dark winter days to studying astrology, translating the poetry of William Blake, and taking care of the summer homes of wealthy Warsaw residents. Her reputation as a crank and a recluse is amplified by her not-so-secret preference for the company of animals over humans. Then a neighbor, Big Foot, turns up dead. Soon other bodies are discovered, in increasingly strange circumstances. As suspicions mount, Janina inserts herself into the investigation, certain that she knows whodunit. If only anyone would pay her mind . . .A deeply satisfying thriller cum fairy tale, Drive Your Plow over the Bones of the Dead is a provocative exploration of the murky borderland between sanity and madness, justice and tradition, autonomy and fate. Whom do we deem sane? it asks. Who is worthy of a voice?","Olga Tokarczuk is one of Poland’s most celebrated and beloved authors, a winner of the Nobel Prize in Literature and the Man Booker International Prize, as well as her country’s highest literary honor, the Nike. She is the author of eight… More about Olga Tokarczuk"
The Good Lord Bird (TV Tie-in),James McBride,"Now a Showtime limited series starring Ethan Hawke and Daveed DiggsWinner of the National Book Award for FictionFrom the bestselling author of Deacon King Kong (an Oprah Book Club pick) and The Color of Water comes the story of a young boy born a slave who joins John Brown’s antislavery crusade—and who must pass as a girl to survive.Henry Shackleford is a young slave living in the Kansas Territory in 1856–a battleground between anti- and pro-slavery forces–when legendary abolitionist John Brown arrives. When an argument between Brown and Henry’s master turns violent, Henry is forced to leave town–along with Brown, who believes Henry to be a girl and his good luck charm.Over the ensuing months, Henry, whom Brown nicknames Little Onion, conceals his true identity to stay alive. Eventually Brown sweeps him into the historic raid on Harpers Ferry in 1859–one of the great catalysts for the Civil War. An absorbing mixture of history and imagination, and told with McBride’s meticulous eye for detail and character, The Good Lord Bird is both a rousing adventure and a moving exploration of identity and survival.","James McBride is an accomplished musician and author of the National Book Award–winning The Good Lord Bird, the #1 bestselling American classic The Color of Water, and the bestsellers Song Yet Sung and Miracle at St. Anna. He is also the author of Kill ’Em and Leave,… More about James McBride"
Lot,Bryan Washington,"One of Barack Obama’s “Favorite Books of the Year” “Phenomenal” –Justin Torres, author of We the Animals“Brilliant” –Nicole Dennis-Benn, author of Here Comes the Sun“A profound exploration of the true meaning of borders.” —The New York Times Book Review NAMED ONE OF THE 10 BEST BOOKS OF 2019 in the New York Times by Dwight GarnerA New York Times Notable Book of 2019In the city of Houston – a sprawling, diverse microcosm of America – the son of a black mother and a Latino father is coming of age. He’s working at his family’s restaurant, weathering his brother’s blows, resenting his older sister’s absence. And discovering he likes boys.Around him, others live and thrive and die in Houston’s myriad neighborhoods: a young woman whose affair detonates across an apartment complex, a ragtag baseball team, a group of young hustlers, hurricane survivors, a local drug dealer who takes a Guatemalan teen under his wing, a reluctant chupacabra.Bryan Washington’s brilliant, viscerally drawn world vibrates with energy, wit, raw power, and the infinite longing of people searching for home. With soulful insight into what makes a community, a family, and a life, Lot explores trust and love in all its unsparing and unsteady forms.","Bryan Washington is a National Book Award 5 Under 35 honoree and winner of the Dylan Thomas Prize and the Ernest J. Gaines Award for Literary Excellence. He received the New York Public Library Young Lions Fiction Award for his first book,… More about Bryan Washington"
High Fidelity (TV Tie-in),Nick Hornby,"A wise and hilarious novel about love, heartbreak, and rock and roll from the bestselling author of About a Boy and A Long Way DownNow a Hulu series starring Zoë Kravitz!Rob is a pop music junkie who runs his own semi-failing record store. His girlfriend, Laura, has just left him for the guy upstairs, and Rob is both miserable and relieved. After all, could he have spent his life with someone who has a bad record collection? Rob seeks refuge in the company of the offbeat clerks at his store, who endlessly review their top five films; top five Elvis Costello songs; top five episodes of Cheers. Rob tries dating a singer, but maybe it’s just that he’s always wanted to sleep with someone who has a record contract. Then he sees Laura again. And Rob begins to think that life with kids, marriage, barbecues, and soft rock CDs might not be so bad.","Nick Hornby is the author of seven other bestselling novels, including High Fidelity, About a Boy, and A Long Way Down, as well as several works of nonfiction. Many of his books have been turned into successful films and TV… More about Nick Hornby"
The Friend,Sigrid Nunez,"WINNER OF THE 2018 NATIONAL BOOK AWARD FOR FICTIONSHORTLISTED FOR THE INTERNATIONAL DUBLIN LITERARY AWARD NEW YORK TIMES BESTSELLER“A beautiful book … a world of insight into death, grief, art, and love.” —Wall Street Journal“A penetrating, moving meditation on loss, comfort, memory…Nunez has a wry, withering wit.” —NPR“Dry, allusive and charming…the comedy here writes itself.” The New York TimesA moving story of love, friendship, grief, healing, and the magical bond between a woman and her dog.When a woman unexpectedly loses her lifelong best friend and mentor, she finds herself burdened with the unwanted dog he has left behind. Her own battle against grief is intensified by the mute suffering of the dog, a huge Great Dane traumatized by the inexplicable disappearance of its master, and by the threat of eviction: dogs are prohibited in her apartment building.While others worry that grief has made her a victim of magical thinking, the woman refuses to be separated from the dog except for brief periods of time. Isolated from the rest of the world, increasingly obsessed with the dog’s care, determined to read its mind and fathom its heart, she comes dangerously close to unraveling. But while troubles abound, rich and surprising rewards lie in store for both of them.Elegiac and searching, The Friend is both a meditation on loss and a celebration of human-canine devotion.","Sigrid Nunez is the author of the novels Salvation City, The Last of Her Kind, A Feather on the Breath of God, For Rouenna, and the National Book Award–winning The Friend, among others. She is also the author of Sempre… More about Sigrid Nunez"
The End of Loneliness,Benedict Wells,"From internationally bestselling author Benedict Wells, a sweeping novel of love and loss, and of the lives we never get to live “[D]azzling storytelling…The End of Loneliness is both affecting and accomplished — and eternal.”—John Irving  Jules Moreau’s childhood is shattered after the sudden death of his parents. Enrolled in boarding school where he and his siblings, Marty and Liz, are forced to live apart, the once vivacious and fearless Jules retreats inward, preferring to live within his memories – until he meets Alva, a kindred soul caught in her own grief. Fifteen years pass and the siblings remain strangers to one another, bound by tragedy and struggling to recover the family they once were. Jules, still adrift, is anchored only by his desires to be a writer and to reunite with Alva, who turned her back on their friendship on the precipice of it becoming more. But, just as it seems they can make amends for time wasted, invisible forces – whether fate or chance – intervene.              A kaleidoscopic family saga told through the fractured lives of the three Moreau siblings, alongside a faltering, recovering love story, The End of Loneliness is a stunning meditation on the power of our memories, of what can be lost and what can never be let go. With inimitable compassion and luminous, affecting prose, Benedict Wells contends with what it means to find a way through life, while never giving up hope you will find someone to go with you.","Benedict Wells was born in 1984 in Munich. At the age of six, he started his journey through three Bavarian boarding schools. Upon graduating, he moved to Berlin, where he dedicated his time to writing. In 2016 he won the… More about Benedict Wells"
